"days","Barack Obama","Bill Clinton","Donald Trump","Dwight D. Eisenhower","George H.W. Bush","George W. Bush","Gerald Ford","Harry S. Truman","Jimmy Carter","Joe Biden","John F. Kennedy","Lyndon B. Johnson","Richard Nixon","Ronald Reagan"
81,32.8136425111732,22.2169174796364,-13.6390036968982,64.9627554966797,42.2544387792245,22.1874779862275,23.7278130490576,84,56.3032017039214,19.557668816638,71.8941043226751,68.0534679099329,52.6240917766088,48.4392167323485
82,32.8136425111732,22.2169174796364,-13.1400817207729,64.9627554966797,42.2544387792245,22.1874779862275,23.7278130490575,84,56.3032017039213,16.6484727449091,71.8941043226751,68.0534679099329,52.6240917766087,48.4392167323485
83,32.8136425111732,22.2169174796364,-13.1400817207729,64.9627554966797,42.2544387792245,24.2375249297576,23.7278130490575,84,56.3032017039213,16.2174940881466,71.8941043226751,68.0534679099329,52.6240917766088,48.1182925585867
84,32.845191374437,22.2169174796364,-13.7296615745865,64.9627554966797,42.2544387792245,24.2375249297576,23.7278130490575,84,56.3032017039213,16.2174940881465,71.8941043226751,68.0534679099329,52.6240917766088,48.1182925585867
85,32.6783989817502,22.2169174796364,-13.7296615745866,64.9627554966797,42.2544387792245,24.2375249297576,23.7278130490575,84,56.3032017039213,16.2174940881466,71.8941043226751,68.0534679099329,48.525510666269,48.1182925585867
86,32.6783989817502,22.2169174796364,-13.7296615745866,64.9627554966797,42.002110479051,24.2375249297576,23.7278130490575,84,56.3032017039213,16.2174940881466,71.8941043226751,68.0534679099329,48.525510666269,48.1182925585867
87,32.6783989817502,22.2169174796364,-13.0627501516803,64.9627554966797,42.002110479051,24.2375249297576,23.7278130490575,84,56.3032017039213,16.2174940881466,71.8941043226751,68.0534679099329,48.525510666269,48.1182925585867
88,32.7544083731797,22.2169174796364,-18.2041085275425,64.9627554966797,42.002110479051,24.2375249297576,23.7278130490575,84,46.7236594495183,16.2174940881466,71.8941043226751,65.3799620419325,48.525510666269,48.1182925585867
89,32.7544083731798,22.2169174796364,-18.2041085275425,64.9627554966797,42.002110479051,30.9571619202395,23.7278130490575,84,46.7236594495183,16.2174940881466,71.8941043226751,65.3799620419325,48.525510666269,48.1182925585867
90,30.1465690893777,18.4898945016054,-16.3565920211923,64.9627554966797,42.002110479051,30.9571619202395,23.7278130490575,84,46.7236594495183,17.5328476312704,71.8941043226751,65.3799620419325,48.525510666269,48.1182925585867
91,33.7564537967073,18.4898945016054,-16.3565920211923,64.9627554966797,42.002110479051,30.9571619202395,23.7278130490575,84,46.7236594495183,14.3669699675101,71.8941043226751,65.3799620419325,48.525510666269,48.1182925585867
92,33.7564537967073,18.4898945016054,-16.3565920211923,64.9627554966797,42.002110479051,30.9351201378038,23.7278130490575,84,46.7236594495183,14.3669699675101,71.8941043226751,65.3799620419325,48.525510666269,48.1182925585867
93,33.681301418564,18.4898945016054,-14.978250657516,64.9627554966797,42.002110479051,30.1971806253585,23.7278130490575,84,46.7236594495183,14.3669699675101,71.8941043226751,65.3799620419325,48.525510666269,48.1182925585867
94,35.4140978950346,18.1881300400403,-14.6699022636458,62.1060311205073,42.002110479051,30.1971806253585,14.5603887816254,84,46.7236594495183,14.3669699675101,71.8941043226751,65.3799620419325,48.525510666269,48.1182925585867
95,35.4140978950346,18.1881300400403,-13.3085207287768,62.1060311205073,42.002110479051,29.7026751054576,14.5603887816254,84,46.7236594495183,14.3669699675101,71.8941043226751,65.3799620419325,48.525510666269,48.1182925585867
96,34.8969035327552,20.3081262318212,-13.5213120014849,62.1060311205073,42.002110479051,28.9219218982809,14.5603887816254,84,46.7236594495183,13.5273791468417,71.8941043226751,65.3799620419325,48.525510666269,48.1182925585867
97,33.5416455293719,20.3081262318212,-13.5213120014849,62.1060311205073,42.002110479051,28.9219218982809,14.5603887816254,84,46.7236594495183,13.5273791468417,71.8941043226751,65.3799620419325,48.525510666269,48.1182925585867
98,33.5416455293719,20.3081262318212,-13.5213120014849,62.1060311205073,42.002110479051,28.9219218982809,14.5603887816254,84,46.7236594495183,13.5273791468417,71.8941043226751,65.3799620419325,48.525510666269,48.1182925585867
99,33.5416455293719,16.1625558655252,-13.1058373971044,62.1060311205073,42.002110479051,28.9219218982809,14.5603887816254,84,46.7236594495183,13.5273791468417,71.8941043226751,65.3799620419325,48.525510666269,48.1182925585867
100,33.795943012368,16.1625558655252,-13.1058373971044,62.1060311205073,42.002110479051,28.9219218982809,14.5603887816254,84,46.7236594495182,13.5273791468417,71.8941043226751,65.3799620419325,48.525510666269,48.1182925585867
101,33.795943012368,16.1625558655252,-12.0875181484268,62.1060311205073,42.002110479051,28.9219218982809,15.6127226049937,84,45.2537965700826,13.5273791468417,71.8941043226751,65.3799620419325,48.525510666269,48.1182925585867
102,33.795943012368,16.1625558655252,-11.7296648104092,62.1060311205073,42.002110479051,28.9219218982809,15.6127226049937,84,45.2537965700826,13.5273791468417,71.8941043226751,65.3799620419325,48.525510666269,48.1182925585867
103,35.0101861946767,16.1625558655252,-11.7296648104092,62.1060311205073,42.002110479051,28.9219218982809,15.6127226049937,84,45.2537965700826,20.2904659131948,77.6574550227627,65.3799620419325,48.525510666269,48.1182925585867
104,35.0101861946767,16.1625558655252,-12.1299178643448,62.1060311205073,42.002110479051,28.2318202743374,15.6127226049937,84,45.2537965700826,20.2904659131948,77.6574550227627,70.474385341323,48.525510666269,48.1182925585867
105,35.0101861946767,16.1625558655252,-12.1299178643448,62.1060311205073,42.002110479051,28.2318202743374,15.6127226049937,84,45.2537965700826,20.2904659131948,77.6574550227627,70.474385341323,48.525510666269,48.1182925585867
106,36.4169396442856,13.8163515369793,-12.5322652157283,62.1060311205073,42.002110479051,28.2318202743374,15.6127226049937,84,45.2537965700826,20.2904659131948,77.6574550227627,70.474385341323,47.0760389076462,48.1182925585867
107,36.4169396442856,13.8163515369793,-12.5322652157283,62.1060311205073,34.2714950746042,27.8153080683981,15.6127226049937,84,45.2537965700826,20.2904659131948,77.6574550227627,70.4743853413231,47.0760389076462,48.1182925585867
